"Refs","Value","Footprint","Qty","DNP"
"C1","100nF ENC_A debounce DNP","Capacitor_SMD:C_0805_2012Metric","1","DNP"
"C2","100nF ENC_B debounce DNP","Capacitor_SMD:C_0805_2012Metric","1","DNP"
"C3","100nF ENC_SW debounce DNP","Capacitor_SMD:C_0805_2012Metric","1","DNP"
"D1","ERROR red","LED_SMD:LED_0805_2012Metric","1",""
"D2","STATUS green/blue","LED_SMD:LED_0805_2012Metric","1",""
"J1","UI cable to Board A J6","Connector_JST:JST_XH_S9B-XH-A_1x09_P2.50mm_Horizontal","1",""
"J2","OLED SSD1306 I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"R1","10k ENC_A pullup","Resistor_SMD:R_0805_2012Metric","1",""
"R2","10k ENC_B pullup","Resistor_SMD:R_0805_2012Metric","1",""
"R3","10k ENC_SW pullup","Resistor_SMD:R_0805_2012Metric","1",""
"R4","330R error LED","Resistor_SMD:R_0805_2012Metric","1",""
"R5","330R status LED","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","EC11 encoder + push","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","1",""
